id;cultivo;muestra;estructura;peso;campo;lugar;comuna;region;fecha
1;trigo;1;tallo;76.6;1;villa baviera;parral;maule;2020-11-05
2;trigo;1;hoja;78.5;1;villa baviera;parral;maule;2020-11-05
3;trigo;1;hoja;56.6;1;villa baviera;parral;maule;2020-11-05
4;trigo;2;tallo;84.8;1;villa baviera;parral;maule;2020-11-05
5;trigo;2;hoja;79.4;1;villa baviera;parral;maule;2020-11-05
6;trigo;3;tallo;93;1;villa baviera;parral;maule;2020-11-05
7;trigo;3;hoja;60.3;1;villa baviera;parral;maule;2020-11-05
8;trigo;4;tallo;63.3;1;villa baviera;parral;maule;2020-11-05
9;trigo;4;hoja;48.4;1;villa baviera;parral;maule;2020-11-05
10;trigo;5;tallo;60.4;1;villa baviera;parral;maule;2020-11-05
11;trigo;5;hoja;38.2;1;villa baviera;parral;maule;2020-11-05
12;trigo;5;hoja;36.2;1;villa baviera;parral;maule;2020-11-05
13;trigo;1;hoja;58;1;villa baviera;parral;maule;2020-11-19
14;trigo;1;tallo;106;1;villa baviera;parral;maule;2020-11-19
15;trigo;1;espiga;71;1;villa baviera;parral;maule;2020-11-19
16;trigo;2;hoja;59.5;1;villa baviera;parral;maule;2020-11-19
17;trigo;2;tallo;102.3;1;villa baviera;parral;maule;2020-11-19
18;trigo;2;espiga;72.3;1;villa baviera;parral;maule;2020-11-19
19;trigo;3;hoja;53;1;villa baviera;parral;maule;2020-11-19
20;trigo;3;tallo;99;1;villa baviera;parral;maule;2020-11-19
21;trigo;3;espiga;72.4;1;villa baviera;parral;maule;2020-11-19
22;trigo;4;hoja;44.4;1;villa baviera;parral;maule;2020-11-19
23;trigo;4;tallo;77.8;1;villa baviera;parral;maule;2020-11-19
24;trigo;4;espiga;47.4;1;villa baviera;parral;maule;2020-11-19
25;trigo;5;hoja;61.6;1;villa baviera;parral;maule;2020-11-19
26;trigo;5;tallo;128.3;1;villa baviera;parral;maule;2020-11-19
27;trigo;5;espiga;68.1;1;villa baviera;parral;maule;2020-11-19
28;trigo;1;tallo;156.7;1;villa baviera;parral;maule;2020-12-09
29;trigo;1;tallo;71.8;1;villa baviera;parral;maule;2020-12-09
30;trigo;1;hoja;73.3;1;villa baviera;parral;maule;2020-12-09
31;trigo;1;espiga;206.5;1;villa baviera;parral;maule;2020-12-09
32;trigo;2;tallo;58.1;1;villa baviera;parral;maule;2020-12-09
33;trigo;2;tallo;169.4;1;villa baviera;parral;maule;2020-12-09
34;trigo;2;hoja;71.3;1;villa baviera;parral;maule;2020-12-09
35;trigo;2;espiga;235.5;1;villa baviera;parral;maule;2020-12-09
36;trigo;3;tallo;48.6;1;villa baviera;parral;maule;2020-12-09
37;trigo;3;tallo;153.4;1;villa baviera;parral;maule;2020-12-09
38;trigo;3;hoja;55.8;1;villa baviera;parral;maule;2020-12-09
39;trigo;3;espiga;210.1;1;villa baviera;parral;maule;2020-12-09
40;trigo;4;tallo;115.3;1;villa baviera;parral;maule;2020-12-09
41;trigo;4;tallo;112.4;1;villa baviera;parral;maule;2020-12-09
42;trigo;4;hoja;63.6;1;villa baviera;parral;maule;2020-12-09
43;trigo;4;espiga;182.1;1;villa baviera;parral;maule;2020-12-09
44;trigo;5;tallo;153.7;1;villa baviera;parral;maule;2020-12-09
45;trigo;5;hoja;89.9;1;villa baviera;parral;maule;2020-12-09
46;trigo;5;hoja;77.3;1;villa baviera;parral;maule;2020-12-09
47;trigo;5;espiga;195;1;villa baviera;parral;maule;2020-12-09
48;trigo;1;hoja;40.6;1;villa baviera;parral;maule;2020-12-29
49;trigo;1;tallo;146.1;1;villa baviera;parral;maule;2020-12-29
50;trigo;1;espiga;395.5;1;villa baviera;parral;maule;2020-12-29
51;trigo;2;hoja;42;1;villa baviera;parral;maule;2020-12-29
52;trigo;2;tallo;130.8;1;villa baviera;parral;maule;2020-12-29
53;trigo;2;espiga;300.8;1;villa baviera;parral;maule;2020-12-29
54;trigo;3;hoja;45.7;1;villa baviera;parral;maule;2020-12-29
55;trigo;3;tallo;132.6;1;villa baviera;parral;maule;2020-12-29
56;trigo;3;espiga;303.5;1;villa baviera;parral;maule;2020-12-29
57;trigo;4;hoja;115.1;1;villa baviera;parral;maule;2020-12-29
58;trigo;4;tallo;37.2;1;villa baviera;parral;maule;2020-12-29
59;trigo;4;espiga;240.9;1;villa baviera;parral;maule;2020-12-29
60;trigo;5;hoja;47;1;villa baviera;parral;maule;2020-12-29
61;trigo;5;tallo;139;1;villa baviera;parral;maule;2020-12-29
62;trigo;5;espiga;306.1;1;villa baviera;parral;maule;2020-12-29
63;trigo;1;espiga;369.7;1;villa baviera;parral;maule;2021-01-18
64;trigo;1;tallo;193.2;1;villa baviera;parral;maule;2021-01-18
65;trigo;1;grano;273.58;1;villa baviera;parral;maule;2021-01-18
66;trigo;2;espiga;247.2;1;villa baviera;parral;maule;2021-01-18
67;trigo;2;tallo;146.2;1;villa baviera;parral;maule;2021-01-18
68;trigo;2;grano;183;1;villa baviera;parral;maule;2021-01-18
69;trigo;3;tallo;78;1;villa baviera;parral;maule;2021-01-18
70;trigo;3;tallo;121.1;1;villa baviera;parral;maule;2021-01-18
71;trigo;3;espiga;332.2;1;villa baviera;parral;maule;2021-01-18
72;trigo;3;grano;245.85;1;villa baviera;parral;maule;2021-01-18
73;trigo;4;tallo;110;1;villa baviera;parral;maule;2021-01-18
74;trigo;4;tallo;99.7;1;villa baviera;parral;maule;2021-01-18
75;trigo;4;espiga;329;1;villa baviera;parral;maule;2021-01-18
76;trigo;4;grano;243.48;1;villa baviera;parral;maule;2021-01-18
77;trigo;5;tallo;136.6;1;villa baviera;parral;maule;2021-01-18
78;trigo;5;espiga;262.1;1;villa baviera;parral;maule;2021-01-18
